name,lat,lon,country,score_growth_rate,score_saturation,score_competition,industry,overall_score
"rcri, inc. (regulatory & clinical research institute, inc.)",44.98,-93.26,united states,3.527142857,1.409205104,10,medical devices,4.978782654
fresenius medical care asia pacific,31.64,120.74,china,2.962857143,7.677079716,2.530220925,medical devices,4.390052595
envista holdings corporation,33.91,-117.9,united states,4.527857143,1.409205104,10,medical devices,5.312354082
stryker navigation,42.29,-85.58,united states,2.571428571,1.409205104,10,medical devices,4.660211225
cook medical,39.16,-86.52,united states,3.013571429,1.409205104,10,medical devices,4.807592178
phoenix healthcare group co ltd,39.92,116.38,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
"lanx, inc.",39.83,-105.03,united states,2.857142857,1.409205104,10,medical devices,4.75544932
pentax medical apac (asia pacific),1.29,103.85,singapore,2.857142857,1.808076323,0.1792413506,medical devices,1.614820177
the cooper companies,37.77,-121.97,united states,2.916428571,1.409205104,10,medical devices,4.775211225
emcision,42.34,-71.55,united states,2.857142857,1.409205104,10,medical devices,4.75544932
hanoi university of pharmacy,16.01,107.93,vietnam,2.857142857,6.677947697,0.0125052105,medical devices,3.182531922
steris corporation,41.66,-81.33,united states,3.083571429,1.409205104,10,medical devices,4.830925511
fresenius medical care,50.21,8.61,germany,3.087857143,2.830650556,0.9170487703,medical devices,2.278518823
top glove,3.08,101.53,malaysia,2.938571429,2.8754039,0.05835764902,medical devices,1.957444326
power medical interventions,40.17,-74.92,united states,2.857142857,1.409205104,10,medical devices,4.75544932
zimmer biomet,41.23,-85.85,united states,2.952142857,1.409205104,10,medical devices,4.787115987
sonova group,47.23,8.72,switzerland,3.745,1.452147924,0.3668195081,medical devices,1.854655811
"qingdao haier biomedical co., ltd",36.09,120.37,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
invisalign orthodontist us,37.33,-121.89,united states,2.857142857,1.409205104,10,medical devices,4.75544932
signia hearing,1.29,103.85,singapore,4.230714286,1.808076323,0.1792413506,medical devices,2.07267732
"fenwal, inc., a fresenius kabi company",42.19,-88.09,united states,2.915,1.409205104,10,medical devices,4.774735035
universidad de ciencias médicas de holguín,20.88,-76.26,cuba,2.857142857,7.176023457,0.01667361401,medical devices,3.349946643
medline méxico,27.47,-99.51,mexico,,3.692419571,0.3334722801,medical devices,2.012945926
teleflex surgical,35.82,-78.82,united states,2.857142857,1.409205104,10,medical devices,4.75544932
ldr,30.26,-97.74,united states,2.710714286,1.409205104,10,medical devices,4.706639797
jabil healthcare,27.77,-82.67,united states,3.313571429,1.409205104,10,medical devices,4.907592178
medtronic,44.98,-93.26,united states,3.098571429,1.409205104,10,medical devices,4.835925511
biomet,41.23,-85.85,united states,2.810714286,1.409205104,10,medical devices,4.73997313
dunlee,53.55,10,germany,2.857142857,2.830650556,0.9170487703,medical devices,2.201614061
bd,41,-74.2,united states,3.117857143,1.409205104,10,medical devices,4.842354082
parsian engineering corp,35.69,51.42,iran,,,0.141725719,medical devices,
bausch + lomb,40.6,-74.64,united states,2.999285714,1.409205104,10,medical devices,4.802830273
ageless esthetics,39.72,-104.83,united states,2.857142857,1.409205104,10,medical devices,4.75544932
röchling medical,43.15,-77.61,united states,3.333571429,1.409205104,10,medical devices,4.914258844
wright therapy products,40.44,-79.99,united states,2.857142857,1.409205104,10,medical devices,4.75544932
notre dame intermedica participacoes sa,-20.03,-47.85,brazil,2.752142857,4.538669294,1.033764068,medical devices,2.77485874
carefusion,32.71,-117.15,united states,2.770714286,1.409205104,10,medical devices,4.726639797
stryker spine,40.76,-111.89,united states,2.857142857,1.409205104,10,medical devices,4.75544932
align technology,37.33,-121.89,united states,3.836428571,1.409205104,10,medical devices,5.081877892
lake region medical,42.56,-71.16,united states,2.685714286,1.409205104,10,medical devices,4.698306463
krsnaa diagnostics pvt. ltd.,18.51,73.85,india,3.38,5.617063078,1.092121717,medical devices,3.363061598
unifirst first aid + safety,38.76,-90.46,united states,2.092142857,1.409205104,10,medical devices,4.50044932
boston scientific,42.34,-71.55,united states,3.224285714,1.409205104,10,medical devices,4.877830273
medical device technology exchange (mdtx),34.05,-118.24,united states,,1.409205104,10,medical devices,5.704602552
"shenzhen huayuan havepur medical technology co., ltd",22.53,114.13,china,,7.677079716,2.530220925,medical devices,5.103650321
medtronic careers uk,51.66,-0.4,united kingdom,3.082857143,2.725057509,0.7711546478,medical devices,2.1930231
"威海威高洁丽康生物材料有限公司-weihai wego jericom biomaterials co.,ltd",37.5,122.11,china,,7.677079716,2.530220925,medical devices,5.103650321
elioncare,39.9,116.39,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
zeiss vision care uk,52.46,-1.91,united kingdom,5.779285714,2.725057509,0.7711546478,medical devices,3.091832624
hill-rom,41.85,-87.65,united states,2.012142857,1.409205104,10,medical devices,4.473782654
koninklijke philips nv,52.35,4.91,netherlands,0.4764285714,2.534361494,0.3126302626,medical devices,1.107806776
bausch + lomb india,28.46,77.02,india,10,5.617063078,1.092121717,medical devices,5.569728265
bausch + lomb india,28.46,77.02,india,3.831428571,5.617063078,1.092121717,medical devices,3.513537789
w. l. gore & associates,39.68,-75.74,united states,2.988571429,1.409205104,10,medical devices,4.799258844
dentsply sirona,35.22,-80.84,united states,3.220714286,1.409205104,10,medical devices,4.876639797
invamed health inc.,28.06,-81.14,united states,3.609285714,1.409205104,10,medical devices,5.006163606
baxter international inc.,42.17,-87.84,united states,3.275,1.409205104,10,medical devices,4.894735035
b. braun group,51.13,9.55,germany,3.19,2.830650556,0.9170487703,medical devices,2.312566442
ev3,44.98,-93.26,united states,2.857142857,1.409205104,10,medical devices,4.75544932
wsaudiology,1.29,103.85,singapore,3.964285714,1.808076323,0.1792413506,medical devices,1.983867796
smith & nephew,51.65,-0.39,united kingdom,2.895714286,2.725057509,0.7711546478,medical devices,2.130642148
canon medical systems  (former toshiba medical systems),52.05,4.49,netherlands,2.972142857,2.534361494,0.3126302626,medical devices,1.939711538
stryker,42.29,-85.58,united states,3.335714286,1.409205104,10,medical devices,4.91497313
nipro medical corporation,25.77,-80.19,united states,3.06,1.409205104,10,medical devices,4.823068368
b. braun medical,40.62,-75.37,united states,2.758571429,1.409205104,10,medical devices,4.722592178
itw filtertek,42.47,-88.43,united states,2.714285714,1.409205104,10,medical devices,4.707830273
hamdard bangladesh,23.72,90.4,bangladesh,2.857142857,7.393538605,0.02501042101,medical devices,3.425230628
mbbs consultancy,28.9,76.56,india,,5.617063078,1.092121717,medical devices,3.354592398
"cr bard - europe, middle east and africa (emea)",51.41,-0.86,united kingdom,2.507857143,2.725057509,0.7711546478,medical devices,2.001356433
wego holding,37.5,122.11,china,,7.677079716,2.530220925,medical devices,5.103650321
covidien (medtronic minimally invasive therapies group),45.08,-93.26,united states,2.7,1.409205104,10,medical devices,4.703068368
steris infection prevention technologies emea,52.66,-1.03,united kingdom,3.317857143,2.725057509,0.7711546478,medical devices,2.271356433
caribbean health group,10.96,-74.79,colombia,2.857142857,3.752916161,0.3209670696,medical devices,2.310342029
dentsply implants,57.65,12.01,sweden,2.42,2.304630783,0.1375573155,medical devices,1.620729366
edwards lifesciences,33.66,-117.82,united states,3.257857143,1.409205104,10,medical devices,4.889020749
"weigao orthopaedic device company co., ltd.",37.5,122.11,china,,7.677079716,2.530220925,medical devices,5.103650321
zimmer biomet australia and new zealand,-33.73,151.21,australia,2.636428571,2.434228884,0.116715298,medical devices,1.729124251
medplast inc.,42.06,-71.24,united states,2.792857143,1.409205104,10,medical devices,4.734020749
steris asia,1.29,103.85,singapore,,1.808076323,0.1792413506,medical devices,0.9936588366
20/20 imaging,42.24,-88.31,united states,2.857142857,1.409205104,10,medical devices,4.75544932
gn resound anz,-33.86,151.2,australia,2.321428571,2.434228884,0.116715298,medical devices,1.624124251
ottobock north america,51.51,10.26,germany,3.085,2.830650556,0.9170487703,medical devices,2.277566442
yuwell global,31.64,118.71,china,,7.677079716,2.530220925,medical devices,5.103650321
"smith & nephew, inc.",35.14,-90.04,united states,2.424285714,1.409205104,10,medical devices,4.611163606
"merit medical systems, inc.",40.56,-111.92,united states,3.033571429,1.409205104,10,medical devices,4.814258844
mölnlycke chile,-33.45,-70.64,chile,,4.027964811,0.2209253856,medical devices,2.124445098
hartalega,2.69,101.74,malaysia,3.808571429,2.8754039,0.05835764902,medical devices,2.247444326
varian medical systems,37.44,-122.14,united states,2.934285714,1.409205104,10,medical devices,4.781163606
viant medical,42.06,-71.24,united states,2.742857143,1.409205104,10,medical devices,4.717354082
hospital sótero del río,-33.45,-70.64,chile,,4.027964811,0.2209253856,medical devices,2.124445098
bauerfeind italia,45.46,9.19,italy,2.410714286,3.351028959,0.7669862443,medical devices,2.176243163
icu medical,33.42,-117.61,united states,3.481428571,1.409205104,10,medical devices,4.963544559
aquavana,36.16,-86.78,united states,,1.409205104,10,medical devices,5.704602552
starkey hearing technologies,44.85,-93.47,united states,2.972857143,1.409205104,10,medical devices,4.794020749
weibel cds ag,47.35,9.28,switzerland,2.857142857,1.452147924,0.3668195081,medical devices,1.55870343
smiths medical,44.98,-93.26,united states,2.246428571,1.409205104,10,medical devices,4.551877892
"pursuit vascular, inc.",33.42,-117.61,united states,1.071428571,1.409205104,10,medical devices,4.160211225
pediatric services of america inc (ga),33.74,-84.38,united states,,1.409205104,10,medical devices,5.704602552
invisalign go professional,52.35,4.91,netherlands,6.428571429,2.534361494,0.3126302626,medical devices,3.091854395
topcon healthcare australia &  new zealand,-37.81,144.96,australia,2.857142857,2.434228884,0.116715298,medical devices,1.80269568
"icon plc (formerly mdci, medical device consultants, inc.)",42.34,-71.55,united states,2.857142857,1.409205104,10,medical devices,4.75544932
intuitive surgical,37.36,-122.03,united states,3.617142857,1.409205104,10,medical devices,5.008782654
drmed medical technologies,40.99,29.13,turkey,2.857142857,4.970409757,0.3834931221,medical devices,2.737015245
dentsply ih,57.65,12.01,sweden,2.822142857,2.304630783,0.1375573155,medical devices,1.754776985
precious mountain ent. corp.,25.04,121.53,taiwan,2.857142857,,0.1292205085,medical devices,
dexcom,32.71,-117.15,united states,3.165,1.409205104,10,medical devices,4.858068368
"hologic, inc.",42.34,-71.55,united states,3.212857143,1.409205104,10,medical devices,4.874020749
olympus europe,53.55,10,germany,2.829285714,2.830650556,0.9170487703,medical devices,2.192328347
idime s.a,4.64,-74.06,colombia,2.711428571,3.752916161,0.3209670696,medical devices,2.261770601
mothers dental,-34.92,138.59,australia,1.758571429,2.434228884,0.116715298,medical devices,1.436505204
médica uruguaya,-34.85,-56.17,uruguay,2.967142857,3.231184517,0.03751563151,medical devices,2.078614335
mindray,22.53,114.13,china,2.606428571,7.677079716,2.530220925,medical devices,4.271243071
integer holdings corporation,33.01,-96.69,united states,3.285714286,1.409205104,10,medical devices,4.898306463
convatec,36.07,-79.79,united states,3.081428571,1.409205104,10,medical devices,4.830211225
arjohuntleigh,55.56,13.01,sweden,2.855,2.304630783,0.1375573155,medical devices,1.765729366
"mölnlycke, us.",33.94,-84.21,united states,3.378571429,1.409205104,10,medical devices,4.929258844
servicio de salud metropolitano central dap,-33.45,-70.64,chile,2.857142857,4.027964811,0.2209253856,medical devices,2.368677684
"lepu medical technology (beijing) co., ltd.",39.9,116.39,china,2.717857143,7.677079716,2.530220925,medical devices,4.308385928
depuy synthes companies,41.93,-71.04,united states,3.129285714,1.409205104,10,medical devices,4.846163606
hollister incorporated,42.28,-87.95,united states,3.025,1.409205104,10,medical devices,4.811401701
"cianna medical, inc.",33.6,-117.74,united states,2.511428571,1.409205104,10,medical devices,4.640211225
merit medical systems india,12.97,77.59,india,5.237857143,5.617063078,1.092121717,medical devices,3.982347313
ciba vision,34,-84.14,united states,2.825,1.409205104,10,medical devices,4.744735035
cr bard,40.69,-74.4,united states,2.713571429,1.409205104,10,medical devices,4.707592178
"shenzhen ktc medical solutions co., ltd.",22.53,114.13,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
cmx medical imaging,47.47,-122.26,united states,3.650714286,1.409205104,10,medical devices,5.01997313
johnson & johnson vision,30.33,-81.65,united states,3.085,1.409205104,10,medical devices,4.831401701
bsn medical,53.55,10,germany,2.733571429,2.830650556,0.9170487703,medical devices,2.160423585
lepu medical pci division,39.9,116.39,china,,7.677079716,2.530220925,medical devices,5.103650321
"zhonghong pulin mecical products co., ltd.",39.63,118.18,china,4.642857143,7.677079716,2.530220925,medical devices,4.950052595
"zonare medical systems, inc.",41.08,-74.14,united states,2.857142857,1.409205104,10,medical devices,4.75544932
healy america,34.05,-118.24,united states,,1.409205104,10,medical devices,5.704602552
centro médico imbanaco,3.43,-76.52,colombia,2.657857143,3.752916161,0.3209670696,medical devices,2.243913458
"shandong shinva medical instrument co.,ltd",36.79,118.06,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
resmed,32.71,-117.15,united states,3.228571429,1.409205104,10,medical devices,4.879258844
terumo bct,39.7,-105.08,united states,2.979285714,1.409205104,10,medical devices,4.796163606
olympus corporation of the americas,40.52,-75.39,united states,3.102142857,1.409205104,10,medical devices,4.837115987
angiografía de occidente,3.43,-76.52,colombia,,3.752916161,0.3209670696,medical devices,2.036941615
subred norte e.s.e,4.64,-74.06,colombia,3.023571429,3.752916161,0.3209670696,medical devices,2.36581822
djo global,32.78,-96.8,united states,2.940714286,1.409205104,10,medical devices,4.783306463
helplife,-12.04,-77.02,peru,,5.610056712,0.1458941226,medical devices,2.877975417
olympus medical systems emea,53.55,10,germany,3.606428571,2.830650556,0.9170487703,medical devices,2.451375966
halt medical inc. - acessa procedure,30.26,-97.74,united states,1.581428571,1.409205104,10,medical devices,4.330211225
alere inc.,42.32,-87.84,united states,2.776428571,1.409205104,10,medical devices,4.728544559
"(zs) shandong zhushi pharmaceutical group co. ,ltd.",35.24,115.44,china,,7.677079716,2.530220925,medical devices,5.103650321
vatech brasil,-23.47,-46.66,brazil,3.303571429,4.538669294,1.033764068,medical devices,2.958668264
chunli medical,39.9,116.39,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
"medela, inc.",47.19,8.53,switzerland,2.857142857,1.452147924,0.3668195081,medical devices,1.55870343
"real system by penumbra, inc.",37.76,-122.24,united states,3.312857143,1.409205104,10,medical devices,4.907354082
double medical technology inc.,24.47,118.08,china,3.142857143,7.677079716,2.530220925,medical devices,4.450052595
"neutron holdings, inc.",37.77,-122.41,united states,,1.409205104,10,medical devices,5.704602552
bauerfeind ag,50.68,12.03,germany,2.981428571,2.830650556,0.9170487703,medical devices,2.243042633
sonría clínicas odontológicas,4.64,-74.06,colombia,2.753571429,3.752916161,0.3209670696,medical devices,2.27581822
aditeks surgical instruments,32.51,74.54,pakistan,,7.75782833,0.2709462276,medical devices,4.014387279
"norco, inc.",43.61,-116.2,united states,2.769285714,1.409205104,10,medical devices,4.726163606
teleflex medical tecate,32.55,-116.63,mexico,2.857142857,3.692419571,0.3334722801,medical devices,2.294344903
wright medical,35.14,-90.04,united states,1.786428571,1.409205104,10,medical devices,4.398544559
neodent,-25.41,-49.25,brazil,3.689285714,4.538669294,1.033764068,medical devices,3.087239692
dako,55.66,12.4,denmark,2.807857143,1.476096221,0.1125468945,medical devices,1.465500086
medtronic france,44.63,0.44,france,2.915,2.92504587,0.5627344727,medical devices,2.134260114
paragon medical,41.2,-85.7,united states,3.506428571,1.409205104,10,medical devices,4.971877892
haemonetics,42.35,-71.05,united states,3.112857143,1.409205104,10,medical devices,4.840687416
"orchid mps holdings, llc",33.64,-117.6,united states,,1.409205104,10,medical devices,5.704602552
orthofix,33.04,-96.99,united states,3.069285714,1.409205104,10,medical devices,4.826163606
franciscan health olympia fields & chicago heights,41.61,-87.64,united states,1.836428571,1.409205104,10,medical devices,4.415211225
medline europe,51.98,5.91,netherlands,3.381428571,2.534361494,0.3126302626,medical devices,2.076140109
smiledirectclub,36.16,-86.78,united states,2.798571429,1.409205104,10,medical devices,4.735925511
"henan yadu industrial co.,ltd",35.19,114.68,china,4.047857143,7.677079716,2.530220925,medical devices,4.751719261
arthrex apac,1.29,103.85,singapore,4.285714286,1.808076323,0.1792413506,medical devices,2.091010653
meril,20.37,72.9,india,2.713571429,5.617063078,1.092121717,medical devices,3.140918741
breg,33.15,-117.34,united states,2.604285714,1.409205104,10,medical devices,4.671163606
hpc medical products/teleflex medical oem,42.37,-87.9,united states,,1.409205104,10,medical devices,5.704602552
al arfaj medical services,24.68,46.72,saudi arabia,4.642857143,4.534072729,0.1208837015,medical devices,3.099271191
vatech france,48.85,2.34,france,2.857142857,2.92504587,0.5627344727,medical devices,2.1149744
the roho group,38.52,-89.98,united states,2.857142857,1.409205104,10,medical devices,4.75544932
sigma implants online,51.55,0.07,united kingdom,,2.725057509,0.7711546478,medical devices,1.748106079
mtd medical technology and devices,46.01,8.96,switzerland,3.214285714,1.452147924,0.3668195081,medical devices,1.677751049
rumah makan ltd.,37.33,-121.89,united states,,1.409205104,10,medical devices,5.704602552
avanos medical,34.07,-84.29,united states,2.607857143,1.409205104,10,medical devices,4.672354082
jud care,22.53,114.13,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
coopervision,43.09,-77.44,united states,3.077142857,1.409205104,10,medical devices,4.828782654
invacare corporation,41.36,-82.1,united states,2.642142857,1.409205104,10,medical devices,4.683782654
kerr corporation,33.78,-117.85,united states,3.627857143,1.409205104,10,medical devices,5.012354082
zybio inc. molecular diagnosis,29.56,106.55,china,,7.677079716,2.530220925,medical devices,5.103650321
"ims - integrated medical systems international, inc.",33.55,-86.81,united states,2.848571429,1.409205104,10,medical devices,4.752592178
kavo kerr- india,12.98,77.58,india,0.4764285714,5.617063078,1.092121717,medical devices,2.395204456
karlmayer,59.5,18.05,sweden,,2.304630783,0.1375573155,medical devices,1.221094049
b braun surgical sa,41.55,2.01,spain,2.857142857,3.317899351,0.6252605252,medical devices,2.266767578
pss,30.33,-81.65,united states,2.886428571,1.409205104,10,medical devices,4.765211225
beltone,42.06,-87.78,united states,3.060714286,1.409205104,10,medical devices,4.823306463
sturdy industrial,25.08,121.55,taiwan,2.307857143,,0.1292205085,medical devices,
transasia bio-medicals ltd.,19.07,72.88,india,2.801428571,5.617063078,1.092121717,medical devices,3.170204456
sahajanand medical technologies,21.17,72.81,india,2.817857143,5.617063078,1.092121717,medical devices,3.175680646
oxford healthcare,26.31,-80.1,united states,1.27,1.409205104,10,medical devices,4.226401701
shanchuan group,36.79,118.06,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
"microtek medical holdings, inc.",34.07,-84.29,united states,,1.409205104,10,medical devices,5.704602552
arthrocare corporation,30.26,-97.74,united states,2.762857143,1.409205104,10,medical devices,4.724020749
carl zeiss meditec ag,50.92,11.58,germany,3.390714286,2.830650556,0.9170487703,medical devices,2.379471204
belimed ag,47.17,8.51,switzerland,2.728571429,1.452147924,0.3668195081,medical devices,1.515846287
sybron dental specialties,33.83,-117.91,united states,2.807857143,1.409205104,10,medical devices,4.739020749
arthrex uk,53.36,-1.5,united kingdom,3.75,2.725057509,0.7711546478,medical devices,2.415404052
nakanishi inc,19.72,-155.09,united states,3.142857143,1.409205104,10,medical devices,4.850687416
biomet 3i,26.82,-80.13,united states,2.693571429,1.409205104,10,medical devices,4.700925511
neusoft medical latinoamerica,-12.11,-77.05,peru,2.857142857,5.610056712,0.1458941226,medical devices,2.87103123
linet group se,51.8,4.69,netherlands,2.953571429,2.534361494,0.3126302626,medical devices,1.933521062
ge healthcare information technologies,43.03,-87.9,united states,,1.409205104,10,medical devices,5.704602552
nouveau eyewear,32.95,-96.89,united states,2.857142857,1.409205104,10,medical devices,4.75544932
zybio,22.53,114.13,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
btl medical technologies cz a.s.,50.08,14.42,czechia,3.811428571,,0.05418924552,medical devices,
apex medical,25.04,121.53,taiwan,2.430714286,,0.1292205085,medical devices,
abb optical group canada,49.14,-122.9,canada,2.857142857,2.931045997,0.4918716132,medical devices,2.093353489
"tecomet, inc",42.56,-71.16,united states,2.65,1.409205104,10,medical devices,4.686401701
orchid orthopedic solutions,42.64,-84.51,united states,2.857142857,1.409205104,10,medical devices,4.75544932
osstem,40.17,-74.85,united states,2.773571429,1.409205104,10,medical devices,4.727592178
leica biosystems,49.32,8.69,germany,3.185,2.830650556,0.9170487703,medical devices,2.310899776
thuasne,45.81,5.91,france,2.710714286,2.92504587,0.5627344727,medical devices,2.066164876
vention medical,42.34,-71.55,united states,2.81,1.409205104,10,medical devices,4.739735035
cretex medical,45.3,-93.56,united states,5.055,1.409205104,10,medical devices,5.488068368
dental services group,27.77,-82.67,united states,1.517857143,1.409205104,10,medical devices,4.309020749
asociacion dental mexicana,19.43,-99.13,mexico,2.857142857,3.692419571,0.3334722801,medical devices,2.294344903
microport,31.22,121.45,china,3.665714286,7.677079716,2.530220925,medical devices,4.624338309
caja de salud de la banca privada,-16.5,-68.13,bolivia,2.857142857,6.273949199,0.008336807003,medical devices,3.046476288
lifenet health,36.85,-75.97,united states,3.08,1.409205104,10,medical devices,4.829735035
datascope corp. maquet cardiovascular cardiac assist,40.92,-74.27,united states,2.857142857,1.409205104,10,medical devices,4.75544932
harmac medical products,42.88,-78.87,united states,2.900714286,1.409205104,10,medical devices,4.76997313
livanova,51.5,-0.12,united kingdom,2.758571429,2.725057509,0.7711546478,medical devices,2.084927862
arthrex vet systems,26.14,-81.79,united states,5.237857143,1.409205104,10,medical devices,5.549020749
motic digital pathology,37.77,-122.41,united states,1.666428571,1.409205104,10,medical devices,4.358544559
toshiba america medical systems,33.74,-117.82,united states,2.705714286,1.409205104,10,medical devices,4.70497313
healthcare technology management association of south carolina,34,-81.03,united states,,1.409205104,10,medical devices,5.704602552
clínica universitaria reina fabiola,-31.41,-64.18,argentina,3.122857143,4.83545247,0.2000833681,medical devices,2.719464327
university of virginia physicians group,38.02,-78.47,united states,2.857142857,1.409205104,10,medical devices,4.75544932
romsons group of industries,28.6,77.2,india,3.106428571,5.617063078,1.092121717,medical devices,3.271871122
analogic,42.52,-70.92,united states,2.840714286,1.409205104,10,medical devices,4.74997313
fluke biomedical,47.97,-122.2,united states,3.027142857,1.409205104,10,medical devices,4.812115987
intersurgical,51.5,-1.25,united kingdom,2.692142857,2.725057509,0.7711546478,medical devices,2.062785005
organización clínica general del norte,10.96,-74.79,colombia,2.714285714,3.752916161,0.3209670696,medical devices,2.262722982
merit medical méxico,32.53,-117.01,mexico,2.857142857,3.692419571,0.3334722801,medical devices,2.294344903
freudenberg medical,34.39,-119.51,united states,2.877857143,1.409205104,10,medical devices,4.762354082
the scooter store,29.7,-98.12,united states,2.857142857,1.409205104,10,medical devices,4.75544932
terumo aortic,26.13,-80.11,united states,3.162857143,1.409205104,10,medical devices,4.857354082
stratec biomedical switzerland ag,47.69,8.57,switzerland,3.571428571,1.452147924,0.3668195081,medical devices,1.796798668
grupo sanitario icot,28.11,-15.43,spain,2.708571429,3.317899351,0.6252605252,medical devices,2.217243768
"providien, llc",33.15,-117.34,united states,2.453571429,1.409205104,10,medical devices,4.620925511
ari med,26.83,80.92,india,,5.617063078,1.092121717,medical devices,3.354592398
abb optical group,26.27,-80.27,united states,2.808571429,1.409205104,10,medical devices,4.739258844
"byram healthcare centers, inc",41.03,-73.76,united states,2.857142857,1.409205104,10,medical devices,4.75544932
terumo medical corporation,40.49,-74.48,united states,2.902857143,1.409205104,10,medical devices,4.770687416
kulzer australia,-33.96,151.05,australia,2.857142857,2.434228884,0.116715298,medical devices,1.80269568
instrumentation laboratory,42.49,-71.27,united states,2.942142857,1.409205104,10,medical devices,4.783782654
snibe,22.53,114.13,china,3.469285714,7.677079716,2.530220925,medical devices,4.558862119
brildent,19.07,72.88,india,,5.617063078,1.092121717,medical devices,3.354592398
eurofins medical device testing,40.03,-76.3,united states,3.214285714,1.409205104,10,medical devices,4.87449694
"cadent, inc.",40.82,-74.06,united states,2.857142857,1.409205104,10,medical devices,4.75544932
terumo europe,50.88,4.7,belgium,2.95,2.111148829,0.1125468945,medical devices,1.724565241
beijing aeonmed ltd.,39.9,116.39,china,4.555,7.677079716,2.530220925,medical devices,4.920766881
midmark corporation,39.64,-84.28,united states,2.831428571,1.409205104,10,medical devices,4.746877892
silimed - industria de implantes,-22.9,-43.18,brazil,,4.538669294,1.033764068,medical devices,2.786216681
welzorg nederland b.v.,52.38,5.23,netherlands,10,2.534361494,0.3126302626,medical devices,4.282330586
medrad,40.44,-79.99,united states,2.903571429,1.409205104,10,medical devices,4.770925511
"weigao orthopaedic device co., ltd",37.5,122.11,china,2.857142857,7.677079716,2.530220925,medical devices,4.3548145
"tidi products, llc",44.18,-88.46,united states,2.909285714,1.409205104,10,medical devices,4.772830273
"precision engineered products (pep), an nn, inc. group",41.94,-71.28,united states,2.207857143,1.409205104,10,medical devices,4.539020749
lifescan,40.03,-75.51,united states,3.25,1.409205104,10,medical devices,4.886401701
"immucor, inc.",33.94,-84.21,united states,2.812857143,1.409205104,10,medical devices,4.740687416
howard medical,31.6,-89.19,united states,3.205714286,1.409205104,10,medical devices,4.871639797
gn hearing brasil,-23.47,-46.66,brazil,3.452142857,4.538669294,1.033764068,medical devices,3.008192073
phonak,47.23,8.72,switzerland,2.750714286,1.452147924,0.3668195081,medical devices,1.523227239
woson latam,-21.17,-47.81,brazil,2.063571429,4.538669294,1.033764068,medical devices,2.54533493
"getinge holding usa, inc",40.92,-74.27,united states,,1.409205104,10,medical devices,5.704602552
banner desert medical center,33.42,-111.82,united states,3.070714286,1.409205104,10,medical devices,4.826639797
volcano corporation,32.71,-117.15,united states,2.817857143,1.409205104,10,medical devices,4.742354082
servizi italia s.p.a.,44.92,10.12,italy,3.021428571,3.351028959,0.7669862443,medical devices,2.379814592
